ID,Slug,Name,Sector,Subsector,Province,Location,Stage,CapexCAD,CapexStatus,Buildability,BuildabilityCoverage,Confidence
a8034c73-8d08-53e7-a843-20bcaf2a5000,moblan,Moblan,Mining & Metals,Mining & mineral development,QC,Eeyou Istchee Baie-James,ANNOUNCED,962000000,REPORTED,20.0,15.0,REPORTED
a8aadd33-3346-54f8-8d37-71ce1660b7f3,lithium-hydroxide-refinery,Lithium Hydroxide Refinery,Mining & Metals,Mining & mineral development,ON,Red Rock,ANNOUNCED,1600000000,REPORTED,20.0,15.0,REPORTED
aa807796-ee6d-515b-932e-32456491168f,green-bay-copper-gold-project-formerly-ming-mine,Green Bay Copper-Gold Project (formerly Ming Mine),Mining & Metals,Mining & mineral development,NL,Baie Verte Peninsula,ANNOUNCED,320000000,REPORTED,20.0,15.0,REPORTED
aa9cc04a-3011-51bb-be33-62aa85f95ee8,sir-adam-beck-complex-refurbishment,Sir Adam Beck Complex Refurbishment,Clean Energy & Grid,Hydro,ON,Niagara Falls,ANNOUNCED,1000000000,REPORTED,20.0,15.0,REPORTED
ab7e2f7d-5866-5fa6-9732-4c2a49cd05bc,lorraine-jayjay-copper-mine,Lorraine-Jayjay Copper Mine,Mining & Metals,Mining & mineral development,BC,Prince George,ANNOUNCED,100000000,REPORTED,20.0,15.0,REPORTED
ab844b77-864e-5fd3-84ac-63920af8558b,oneida-energy-storage-project,Oneida Energy Storage Project,Clean Energy & Grid,Battery Energy Storage,ON,Haldimand County,OPERATING,,UNKNOWN,100.0,25.0,SUPPORTED
adf121d1-68a5-5847-8f0b-945913d71a24,mcclean-lake-uranium-mine-expansion,McClean Lake Uranium Mine Expansion,Mining & Metals,Mining & mineral development,SK,McClean Lake,CONSTRUCTION,300000000,REPORTED,95.0,15.0,REPORTED
ae7ee4d9-6e46-5647-9e7a-4b45029b5b0a,pike,Pike,Energy & Fuels,Energy infrastructure,AB,Regional Municipality of Wood Buffalo,ANNOUNCED,1900000000,REPORTED,20.0,15.0,REPORTED
ae965ff3-c854-5a6b-aa8f-e329d9ee5ac6,bay-du-nord-offshore-oil-project,Bay du Nord Offshore Oil Project,Energy & Fuels,Energy infrastructure,NL,Offshore Newfoundland,ANNOUNCED,16000000000,REPORTED,20.0,15.0,REPORTED
af12a13a-2022-504a-9309-432a46c49730,pellet-plant,Pellet Plant,Forestry & Bioeconomy,Bioenergy,BC,Fort Nelson,ANNOUNCED,29000000,REPORTED,20.0,15.0,REPORTED
af24a196-d8cf-578d-bb5b-69214690c8b8,white-rose-expansion,White Rose Expansion,Energy & Fuels,Energy infrastructure,NL,Offshore Newfoundland,CONSTRUCTION,2300000000,REPORTED,95.0,15.0,REPORTED
b01e5add-3090-5995-abc4-7c5376ed540b,rose-lithium-tantale,Rose Lithium-Tantale,Mining & Metals,Mining & mineral development,QC,Eeyou Istchee Baie-James,ANNOUNCED,610000000,REPORTED,20.0,15.0,REPORTED
b1650a5d-611d-50be-adcc-a63d6c9ae480,smart-grid-investments-phase,Smart Grid Investments Phase,Clean Energy & Grid,Hydro,NB,Various locations across NB  (St. John),CONSTRUCTION,147000000,REPORTED,95.0,15.0,REPORTED
b1d9d5db-8773-5c36-bd81-20ed146acfe0,vaudreuil-alumina-refinery,Vaudreuil alumina refinery,Mining & Metals,Mining & mineral development,QC,Saguenay-Lac-Saint-Jean,ANNOUNCED,250000000,REPORTED,20.0,15.0,REPORTED
b2a137a8-764c-5e3c-a252-5b2c966eb4ec,jackfish,Jackfish,Energy & Fuels,Energy infrastructure,AB,Regional Municipality of Wood Buffalo (SE of Conklin),ANNOUNCED,750000000,REPORTED,20.0,15.0,REPORTED
b2ba0fb9-27b5-5a17-b683-c5d6e164aef9,mill-modernisation,Mill modernisation,Forestry & Bioeconomy,Forest products,QC,Val-d'Or,CONSTRUCTION,310000000,REPORTED,95.0,15.0,REPORTED
b3572f90-cdfb-5f2d-aba9-15cc930f221c,goldboro-gold,Goldboro Gold,Mining & Metals,Mining & mineral development,NS,Goldboro,ANNOUNCED,271000000,REPORTED,20.0,15.0,REPORTED
b4cac3c0-8376-53f6-8f2d-19318b8bf7ba,tilbury-lng-phase-1b,Tilbury LNG Phase 1B,Energy & Fuels,Energy infrastructure,BC,Delta,ANNOUNCED,60000000,REPORTED,20.0,15.0,REPORTED
b4d5fb72-31a9-51a1-bb07-3898a9616e98,mill-upgrade,Mill upgrade,Forestry & Bioeconomy,Forest products,BC,Castlegar,CONSTRUCTION,50000000,REPORTED,95.0,15.0,REPORTED
b534d4e5-a6cb-513a-a066-273ffee375b8,downtown-vancouver-electricity-supply-west-end-strategic-property-purchase,Downtown Vancouver Electricity Supply - West End Strategic Property Purchase,Energy & Fuels,Energy infrastructure,BC,Vancouver,CONSTRUCTION,81000000,REPORTED,95.0,15.0,REPORTED
b639e79e-2832-57c2-ae4c-6178a87cb079,fording-river-castle-expansion,Fording River Castle Expansion,Mining & Metals,Mining & mineral development,BC,Elkford,ANNOUNCED,2290000000,REPORTED,20.0,15.0,REPORTED
b6c7138c-7731-5109-bc58-d42675e734ef,fort-providence-and-kakisa-transmission-line,Fort Providence and Kakisa Transmission Line,Energy & Fuels,Energy infrastructure,NT,Highway 2/5 juction to Fort Providence,ANNOUNCED,60000000,REPORTED,20.0,15.0,REPORTED
b6d2b9ff-c4bc-5d53-b67d-75708012f5f8,goose-harbour-lake-wind-farm-formerly-pirate-harbour,Goose Harbour Lake Wind Farm (formerly Pirate Harbour),Clean Energy & Grid,Wind,NS,Point Tupper,CONSTRUCTION,450000000,REPORTED,95.0,15.0,REPORTED
b84596fe-3b2d-5258-81d0-25aaaa09cd80,new-ingerbelle,New Ingerbelle,Mining & Metals,Mining & mineral development,BC,70 km WSW of Penticton,ANNOUNCED,167000000,REPORTED,20.0,15.0,REPORTED
b89c7953-3d62-5d2f-8033-ad9ae63789ac,surmont,Surmont,Energy & Fuels,Energy infrastructure,AB,Regional Municipality of Wood Buffalo,ANNOUNCED,6000000000,REPORTED,20.0,15.0,REPORTED
b924cdd0-0eb1-5359-a812-847c3b5ec9f0,taltson-hydroelectricity-expansion-project-phase-1,Taltson Hydroelectricity Expansion Project (Phase 1),Clean Energy & Grid,Hydro,NT,Multiple locations,CONSTRUCTION,1200000000,REPORTED,95.0,15.0,REPORTED
b9df92c4-85b0-5de1-a68b-094d8ecd0156,yellowknife-gold,Yellowknife Gold,Mining & Metals,Mining & mineral development,NT,Yellowknife,ANNOUNCED,193000000,REPORTED,20.0,15.0,REPORTED
baf00447-2db1-5461-898e-98c8618d4428,hackney-hills-wind-park,Hackney Hills Wind Park,Clean Energy & Grid,Wind,BC,Fort St. John,ANNOUNCED,400000000,REPORTED,20.0,15.0,REPORTED
bbc260a1-951a-51db-8779-1028b1cf5e34,stettler-solar-and-battery-storage-project,Stettler Solar and Battery Storage Project,Clean Energy & Grid,Solar,AB,Stettler County No. 6,ANNOUNCED,160000000,REPORTED,20.0,15.0,REPORTED
bc649fac-ac70-5932-b967-978fbe2ba056,aley-niobium-project,Aley Niobium Project,Mining & Metals,Mining & mineral development,BC,Mackenzie,ANNOUNCED,870000000,REPORTED,20.0,15.0,REPORTED
bc7679d6-96c0-522a-b2ef-e30c6274401b,arnaud,Arnaud,Mining & Metals,Mining & mineral development,QC,Sept-Îles,ANNOUNCED,768000000,REPORTED,20.0,15.0,REPORTED
bcb6144e-927a-551c-8442-de206194d452,canada-net-zero-hydrogen-energy-complex,Canada Net-Zero Hydrogen Energy Complex,Energy & Fuels,Energy infrastructure,AB,Strathcona County,CONSTRUCTION,4570000000,REPORTED,95.0,15.0,REPORTED
be38e57c-7693-52dc-b11a-847a9bc51472,rook-i,Rook I,Mining & Metals,Mining & mineral development,SK,175 km N of Michel Village,ANNOUNCED,2209000000,REPORTED,20.0,15.0,REPORTED
becc68fa-2ebf-58f8-83be-25118c870331,island-gold-expansion,Island Gold Expansion,Mining & Metals,Mining & mineral development,ON,Dubreuilville,CONSTRUCTION,627400000,REPORTED,95.0,15.0,REPORTED
